mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.17727313041687012,0.015844827406332772,0.011284494400024414,0.00458812442447231,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9607843137254902,0.9765460030165911,0.007882197665432201,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.25611090660095215,0.02746947211875278,0.015466928482055664,0.007670534420729182,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9607843137254902,0.9607843137254902,0.9726244343891401,0.009668398498061713,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5676651000976562,0.04702636300575025,0.02256927490234375,0.006035219486366031,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9607843137254902,0.9607843137254902,0.9726244343891401,0.009668398498061713,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.1339540958404541,0.011530965521823235,0.008527994155883789,0.0031373346655065564,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.9807692307692307,0.9607843137254902,0.9803921568627451,0.9607843137254902,0.9803921568627451,0.9726244343891401,0.009668398498061713,6,1.0,1.0,0.9951219512195122,1.0,0.9951219512195122,0.9980487804878049,0.002389746090520176
0.2870452880859375,0.02178451923980753,0.012695646286010743,0.002701168426569567,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9607843137254902,0.9687028657616892,0.015743456513617384,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5148388862609863,0.02577688473628203,0.019617414474487303,0.006217948744262883,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9607843137254902,0.9687028657616892,0.015743456513617384,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.1477405071258545,0.01397491640240001,0.009003591537475587,0.004651788750698176,,10,50,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",0.9807692307692307,0.9607843137254902,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9687028657616892,0.015743456513617384,25,0.9950980392156863,1.0,0.9902439024390244,0.9951219512195122,0.9951219512195122,0.995117168818747,0.003085163763458231
0.20989613533020018,0.0037288442395168046,0.011417865753173828,0.003035945128955857,,10,100,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9726244343891401,0.015724660076306893,6,1.0,1.0,0.9951219512195122,1.0,0.9951219512195122,0.9980487804878049,0.002389746090520176
0.37548179626464845,0.029057545916596515,0.021202611923217773,0.008136467732616986,,10,200,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9726244343891401,0.015724660076306893,6,1.0,1.0,1.0,1.0,0.9902439024390244,0.9980487804878049,0.0039024390243902474
0.09593033790588379,0.007955810351277308,0.00628194808959961,0.001709278585077063,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9607843137254902,0.9765460030165911,0.007882197665432201,1,1.0,1.0,0.9951219512195122,1.0,0.9951219512195122,0.9980487804878049,0.002389746090520176
0.20245375633239746,0.015348069549409761,0.010358095169067383,0.0025793869746037353,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.9615384615384616,0.9803921568627451,0.9803921568627451,0.9607843137254902,0.9803921568627451,0.9726998491704373,0.00942413233895219,5,1.0,1.0,1.0,1.0,0.9951219512195122,0.9990243902439024,0.0019512195121951237
0.4052893161773682,0.024182849364498826,0.018911075592041016,0.00599541597471077,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9607843137254902,0.9607843137254902,0.9726244343891401,0.009668398498061713,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0964550495147705,0.009514514611095676,0.0059334754943847655,0.0007311665933979384,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.9807692307692307,0.9607843137254902,0.9803921568627451,0.9607843137254902,0.9607843137254902,0.9687028657616892,0.009698939014040857,25,1.0,1.0,0.9951219512195122,1.0,0.9902439024390244,0.9970731707317073,0.0039024390243902474
0.19754786491394044,0.020678542951185094,0.008741092681884766,0.0011308273021183892,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9607843137254902,0.9687028657616892,0.015743456513617384,25,1.0,1.0,0.9951219512195122,1.0,1.0,0.9990243902439024,0.0019512195121951237
0.38679776191711424,0.02687277099636977,0.015948915481567384,0.0025506654680838756,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9726244343891401,0.015724660076306893,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.09355010986328124,0.004105756318912971,0.005348110198974609,0.0013226705600297298,10,10,50,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",0.9807692307692307,0.9607843137254902,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9687028657616892,0.015743456513617384,25,0.9950980392156863,1.0,0.9902439024390244,0.9951219512195122,0.9902439024390244,0.9941415590626494,0.003649131611553436
0.18763179779052735,0.019633198227400214,0.009360218048095703,0.0018314331291938862,10,10,100,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9726244343891401,0.015724660076306893,6,0.9950980392156863,0.9951219512195122,0.9951219512195122,1.0,0.9902439024390244,0.995117168818747,0.003085163763458231
0.3713370323181152,0.03463376256672895,0.018174123764038087,0.004304247086942768,10,10,200,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9726244343891401,0.015724660076306893,6,1.0,0.9951219512195122,1.0,1.0,0.9902439024390244,0.9970731707317073,0.0039024390243902474
0.09345736503601074,0.012150250175599198,0.006487131118774414,0.0012643712788284103,20,2,50,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9607843137254902,0.9765460030165911,0.007882197665432201,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.20199623107910156,0.010175599716834637,0.010136699676513672,0.0016790606290838547,20,2,100,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9607843137254902,0.9607843137254902,0.9726244343891401,0.009668398498061713,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.389333438873291,0.012167687629477604,0.019342660903930664,0.006903409599702062,20,2,200,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9607843137254902,0.9607843137254902,0.9726244343891401,0.009668398498061713,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.10827817916870117,0.012426620182937057,0.006840896606445312,0.004337124522238868,20,5,50,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 50}",0.9807692307692307,0.9607843137254902,0.9803921568627451,0.9607843137254902,0.9803921568627451,0.9726244343891401,0.009668398498061713,6,1.0,1.0,0.9951219512195122,1.0,0.9951219512195122,0.9980487804878049,0.002389746090520176
0.19675250053405763,0.011933532365113714,0.00887455940246582,0.0018614137117391263,20,5,100,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9607843137254902,0.9687028657616892,0.015743456513617384,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.3842761516571045,0.02150392353179154,0.01773490905761719,0.0041843733145989,20,5,200,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9607843137254902,0.9687028657616892,0.015743456513617384,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.09463496208190918,0.013053844340752047,0.0061627388000488285,0.0007758828181325489,20,10,50,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 50}",0.9807692307692307,0.9607843137254902,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9687028657616892,0.015743456513617384,25,0.9950980392156863,1.0,0.9902439024390244,0.9951219512195122,0.9951219512195122,0.995117168818747,0.003085163763458231
0.1854341983795166,0.006483046220020838,0.008091211318969727,0.001373543194624247,20,10,100,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 100}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9726244343891401,0.015724660076306893,6,1.0,1.0,0.9951219512195122,1.0,0.9951219512195122,0.9980487804878049,0.002389746090520176
0.377469539642334,0.03450669928680491,0.01960787773132324,0.0051283649411430435,20,10,200,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 200}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9726244343891401,0.015724660076306893,6,1.0,1.0,1.0,1.0,0.9902439024390244,0.9980487804878049,0.0039024390243902474
0.0853653907775879,0.002061138611411311,0.005210065841674804,0.0005856549151547442,30,2,50,"{'max_depth': 30, 'min_samples_split': 2, 'n_estimators': 50}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9607843137254902,0.9765460030165911,0.007882197665432201,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.17327847480773925,0.01230640610733462,0.011409950256347657,0.0033813295845091496,30,2,100,"{'max_depth': 30, 'min_samples_split': 2, 'n_estimators': 100}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9607843137254902,0.9607843137254902,0.9726244343891401,0.009668398498061713,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.36694941520690916,0.02166779462156764,0.015841960906982422,0.0029170323372439055,30,2,200,"{'max_depth': 30, 'min_samples_split': 2, 'n_estimators': 200}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9607843137254902,0.9607843137254902,0.9726244343891401,0.009668398498061713,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.09620075225830078,0.007424143319931738,0.005345726013183593,0.0016795253978121685,30,5,50,"{'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 50}",0.9807692307692307,0.9607843137254902,0.9803921568627451,0.9607843137254902,0.9803921568627451,0.9726244343891401,0.009668398498061713,6,1.0,1.0,0.9951219512195122,1.0,0.9951219512195122,0.9980487804878049,0.002389746090520176
0.19696621894836425,0.011560392727201883,0.010205650329589843,0.0012713545896111324,30,5,100,"{'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 100}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9607843137254902,0.9687028657616892,0.015743456513617384,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.3741783618927002,0.011199712993770025,0.015902328491210937,0.0024410588345102355,30,5,200,"{'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 200}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9607843137254902,0.9687028657616892,0.015743456513617384,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.09239702224731446,0.008414835787254677,0.006592082977294922,0.0025689317692824177,30,10,50,"{'max_depth': 30, 'min_samples_split': 10, 'n_estimators': 50}",0.9807692307692307,0.9607843137254902,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9687028657616892,0.015743456513617384,25,0.9950980392156863,1.0,0.9902439024390244,0.9951219512195122,0.9951219512195122,0.995117168818747,0.003085163763458231
0.18827533721923828,0.009772671242698918,0.009648656845092774,0.00232415365836682,30,10,100,"{'max_depth': 30, 'min_samples_split': 10, 'n_estimators': 100}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9726244343891401,0.015724660076306893,6,1.0,1.0,0.9951219512195122,1.0,0.9951219512195122,0.9980487804878049,0.002389746090520176
0.3374988079071045,0.017544903656119524,0.01157073974609375,0.004180540539962988,30,10,200,"{'max_depth': 30, 'min_samples_split': 10, 'n_estimators': 200}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9726244343891401,0.015724660076306893,6,1.0,1.0,1.0,1.0,0.9902439024390244,0.9980487804878049,0.0039024390243902474
